idx,inchi_key,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results,npc_isglycoside,kmedoid_10,kmedoid_20,kmedoid_25,kmedoid_30,kmedoid_35,kmedoid_40,kmedoid_45,kmedoid_50,kmedoid_100
0,XTJNPXYDTGJZSA-PKOBYXMFSA-N,OC(=O)[C@H](NC(=O)CCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)c4ccccc4,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,,,Amino_acids_and_Peptides,0,KM_4,KM_5,KM_7,KM_7,KM_7,KM_12,KM_21,KM_21,KM_88
1,VOYWJNWCKFCMPN-FHERZECASA-N,O=C(N1[C@@H](C#N)C2OC2c3ccccc13)c4ccccc4,Organic_compounds,Organoheterocyclic_compounds,Quinolines_and_derivatives,Hydroquinolines,Hydroquinolines,Chalcones,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_7,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_49
2,IRZVHDLBAYNPCT-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(oc2c1)c3ccccc3,Organic_compounds,Phenylpropanoids_and_polyketides,Flavonoids,O-methylated_flavonoids,7-O-methylated_flavonoids,Flavones,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_6,KM_6,KM_6,KM_6,KM_11,KM_6,KM_6,KM_9,KM_97
3,OPWCHZIQXUKNMP-RGEXLXHISA-N,COc1c2OCOc2cc(CCN(C)C(=O)c3ccccc3)c1/C=C\4/C(=O)NC(=O)N(CC=C)C4=O,Organic_compounds,Organoheterocyclic_compounds,Benzodioxoles,,Benzodioxoles,,,Alkaloids,0,KM_6,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_49
4,GTBYYVAKXYVRHX-BVSLBCMMSA-N,CC(C)[C@H](NC(=O)N1[C@@H](C(C)C)C(=O)Nc2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Dipeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_8,KM_8,KM_11,KM_14,KM_29,KM_8,KM_2,KM_15,KM_63
5,UVZWLAGDMMCHPD-UHFFFAOYSA-N,OC(COC(=O)c1ccccc1)C(O)C(O)COC(=O)c2ccccc2,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Benzoic_acids_and_derivatives,Benzoic_acid_esters,Simple_phenolic_acids,Phenolic_acids_(C6-C1),Shikimates_and_Phenylpropanoids,0,KM_5,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_75
6,XKWILXCQJFNUJH-DEOSSOPVSA-N,Cc1c(Cc2ccccc2)c(=O)oc3c(C)c(OCC(=O)N[C@@H](Cc4ccccc4)C(=O)O)ccc13,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Phenylalanine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_17,KM_14,KM_8,KM_21,KM_2,KM_28,KM_22,KM_57
7,JDZNIWUNOASRIK-UHFFFAOYSA-N,CC(Cc1c[nH]c2ccccc12)C(=O)O,Organic_compounds,Organoheterocyclic_compounds,Indoles_and_derivatives,Indoles,3-alkylindoles,Simple_indole_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_4,KM_5,KM_7,KM_7,KM_32,KM_32,KM_39,KM_38,KM_80
8,RCAVVTTVAJETSK-VXKWHMMOSA-N,COc1ccc(CNC(=O)[C@@H](NC(=O)C2CCN(CC2)C(=O)[C@@H](N)CC(C)C)C(C)C)cc1,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_5,KM_1,KM_1,KM_1,KM_10,KM_21,KM_10,KM_12,KM_60
9,KQAZJQXFNDOORW-CABCVRRESA-N,Cc1c(Br)c(=O)oc2cc(OCC(=O)N3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4)ccc12,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_8,KM_11,KM_14,KM_14,KM_10,KM_12,KM_47,KM_47
