query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,retention_index,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.3775,123.0081,105.0339,228.0420,ZCGLNFAUVVHTQO,3-[(4-chlorobenzoyl)amino]propanoic acid,C1=CC(=CC=C1C(=O)NCCC(=O)O)Cl,,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Beta amino acids and derivatives,Simple amide alkaloids,Peptide alkaloids,Alkaloids
2,0.7120,0.0007,113.0237,113.0230,IHCCAYCGZOLTEU,3-FUROIC ACID,C1=COC=C1C(=O)O,,,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Furoic acids,,,
3,0.7416,0.0001,120.0809,120.0810,LPAGFVYQRIESJQ,Indolin,C1CC2=CC=CC=C2N1,,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolines,Indolines,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
4,0.7399,0.0006,122.0966,122.0960,UFFBMTHBGFGIHF,"2,6-Dimethylaniline",CC1=CC=CC(C)=C1N,,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Xylenes,m-Xylenes,,,
5,0.4090,310.2715,125.0235,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
6,0.8382,0.0004,127.0504,127.0500,RWQNBRDOKXIBIV,THYMINE,CC1=C(N=C(N=C1)O)O,,,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Hydroxypyrimidines,pteridine alkaloids,Pseudoalkaloids,Alkaloids
7,0.7141,0.0002,136.0618,136.0620,GFFGJBXGBJISGV,adenine,Nc1nc[nH]c2ncnc1-2,,,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,Purine alkaloids,Pseudoalkaloids,Alkaloids
8,0.6237,0.0001,143.0339,143.0340,PCSKKIUURRTAEM,5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID,C1=C(CO)OC(=C1)C(=O)O,,,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Furoic acids,Furans,Cyclic polyketides,Polyketides
9,0.7119,0.0006,144.0656,144.0650,OYIFNHCXNCRBQI,AMINOADIPATE,NC(CCCC(O)=O)C(O)=O,,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
10,0.6209,0.0006,144.0656,144.0650,XLBVNMSMFQMKEY,N-METHYLGLUTAMATE,CNC(CCC(=O)O)C(=O)O,,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
11,0.7669,0.0002,144.0808,144.0810,APJYDQYYACXCRM,Tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN,,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Tryptamines and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
12,0.7920,0.0002,144.0808,144.0810,APJYDQYYACXCRM,Tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN,,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Tryptamines and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
13,0.2939,195.9136,145.0864,341.0000,XPYBSIWDXQFNMH,"D-Fructose 1,6-bisphosphate",OC(COP(O)(O)=O)C(O)C(O)C(=O)COP(O)(O)=O,,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Hexose phosphates,,Saccharides,Carbohydrates
14,0.8558,0.0000,146.0600,146.0600,OVYWMEWYEJLIER,Quinolin-6-ol,c1cc2cc(ccc2nc1)O,,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Hydroxyquinolines,Hydroxyquinolines,Quinoline alkaloids,Tryptophan alkaloids; Anthranilic acid alkaloids,Alkaloids
15,0.8710,0.0000,146.0600,146.0600,VDBNYAPERZTOOF,2H-isoquinolin-1-one,c1ccc2c(c1)ccnc2O,,,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,,Tryptophan alkaloids,Alkaloids
16,0.8558,0.0001,146.0601,146.0600,MCJGNVYPOGVAJF,quinolin-8-ol,OC1=CC=CC2=CC=CN=C12,,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,8-hydroxyquinolines,8-hydroxyquinolines,Quinoline alkaloids,Tryptophan alkaloids; Anthranilic acid alkaloids,Alkaloids
17,0.8710,0.0001,146.0601,146.0600,VDBNYAPERZTOOF,2H-isoquinolin-1-one,c1ccc2c(c1)ccnc2O,,,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,,Tryptophan alkaloids,Alkaloids
18,0.7187,0.0006,146.1176,146.1170,QVDXUKJJGUSGLS,Leucine methyl ester,COC(=O)C(N)CC(C)C,,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,Amino fatty acids; Aminoacids,Fatty Acids and Conjugates; Small peptides,Amino acids and Peptides; Fatty acids
19,0.7621,0.0000,147.0440,147.0440,PMOWTIHVNWZYFI,2-Hydroxycinnamic acid,O=C(O)C=Cc1ccccc1O,,,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
20,0.8558,0.0000,147.0440,147.0440,NGSWKAQJJWESNS,p-coumaric acid,O=C(O)C=Cc1ccc(O)cc1,,,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
21,0.8558,0.0000,147.0440,147.0440,NGSWKAQJJWESNS,"Coumaric acid (isomer of 189, 194)",O=C(O)C=CC1=CC=C(O)C=C1,,,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
22,0.3459,264.1365,149.1325,413.2690,PFIQXUYXVYYERO,"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-10-enyl]benzene-1,3-diol",Oc1cc(O)cc(CCC/C=C\CCCCCCCCCc2cc(O)cc(O)c2)c1,,,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,Catechols with side chains,Aromatic polyketides,Polyketides
23,0.6402,0.0000,151.0390,151.0390,MRIXVKKOHPQOFK,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
24,0.7532,0.0002,153.0182,153.0180,LNTHITQWFMADLM,Gallic acid,O=C(O)c1cc(O)c(O)c(O)c1,,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids,Gallotannins; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
25,0.8014,0.0004,159.0916,159.0920,KQSABULTKYLFEV,"naphthalene-1,5-diamine",NC1=CC=CC2=C(N)C=CC=C12,,,Organic compounds,Benzenoids,Naphthalenes,,Naphthalenes,,,
26,0.3041,15.9815,161.0445,145.0630,RURHILYUWQEGOS,4-Methylcinnamic acid,CC1=CC=C(C=C1)/C=C/C(=O)O,,,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
27,0.6290,0.0000,162.0550,162.0550,KMAKOBLIOCQGJP,Indole-3-carboxylic_acid,C1=CC=C2C(=C1)C(=CN2)C(=O)O,,,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
28,0.8798,0.0002,166.0862,166.0860,COLNVLDHVKWLRT,DL-PHENYLALANINE,NC(Cc1ccccc1)C(=O)O,,,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
29,0.8413,0.0002,167.0702,167.0700,FBWPWWWZWKPJFL,4-HYDROXY-3-METHOXYPHENYLGLYCOL,COC1=C(C=CC(=C1)C(CO)O)O,,,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Minor lignans,Lignans,Shikimates and Phenylpropanoids
